id,pergunta,resposta
1,"Sobre a visita guiada, tem horarios fixos? E tem que agendar antes?","Tem horários fixos, mas não há necessidade de agendamento, como o tour que eles fazem não é demorado, rapidinho você consegue concluir a visitação."
2,Há restrição de roupa para assistir uma peça no Teatro Amazonas?,"Não conheço nenhum, mas shorts e roupas de praia não seriam apropriados"
3,"Por favor, qual é o site onde posso ver a programação do teatro? O do link está desativado. Grata!",Consulte o site https://cultura.am.gov.br/teatro-amazonas/
4,"Olá! Quanto custa a visita guiada pelo Teatro Amazonas ? É necessário agendar ? Qual a duração da visita ? Tem alguma restrição de dia e horário?

Desde já agradeço a atenção!","R$ 20,00 por pessoa a inteira. A programação é dada no próprio teatro, não precisa depender do hotel."
5,O Trip Advisor não informa o horário de funcionamento e o valor do ingresso (se houver).,"R$ 20,00 por pessoa a inteira.  A visitação no Teatro é de terça a sábado das 8:00 as 14:00 horas"
6,"Vai ter algum espetáculo no feriado de tiradentes ?

Funciona visita guiada aos domingos ?"," A visitação no Teatro é de terça a sábado das 8:00 as 14:00 horas. Nos feriados não estará aberto para visitação, mas nos feriados, dependendo da programação pode ter algum espetáculo."
7,Estarei em Manaus de 3/06-06/06. Tem algum espetáculo previsto para a data?,Tem que ver na agenda cultural da cidade.E mais próximo à data que você for.
8,"Nao consigo achar a data do festival de opera em 2017. Estou programando a viagem para o final de marco, mas se necessario posso colocar pro inicio de Abril pra pegar pelo menos 1 ou 2 dias do festival. Alguem sabe, qndo comeca o festival de opera? OU algum outro evento interessante final de marco ou abril?

Obrigada.","Acabei de dar uma olhada no site sobre cultura do teatro amazonas do governo do estado.

Vi que há a sugestão:

  ""Cultura Amazonas

Baixe nosso aplicativo disponível no Google play e App Store""

Também há: ""Agenda cultural no WhatsApp

envie CULTURA para 99222-5377""

O telefone fixo do teatro (92) 3622-1880/3622-2420

email: teatroamazonas@culturamazonas.am.gov.br

Sucesso nos seus planos!

Abraço!"
9,"Boa tarde pessoal!

Estou indo para Manaus no Carnaval 2017. Existe alguma programação cultural no Teatro? O mercado municipal fica aberto durante o feriado? Obrigado a todos!

Abraços!!!",Normalmente tem um concurso de fantasia no Teatro. O site oficial do mercado municipal traz os horários de abertura nos feriados
10,"Há alguma programação no teatro na noite de dia 14/11, estarei em mania na data.

Grata","Você poderá fazer a visita guiada no Teatro Amazonas, quanto à programação de espetáculos sugiro que entre no site do teatro Amazonas."
11,terá algum espetaculo dia 30/10 ?,"Infelizmente não tenho essa informação pra vc, mais vou lhe passar uns dados onde vc pode conseguir essa informação:

O setor de turismo funciona de terça a sábado, das 9h às 17h, e o setor administrativo e o Acervo Histórico do Teatro Amazonas funciona de terça a sexta-feira, das 8h às 15h30.

Venda de ingressos (Amazonense não paga visitação)

Telefones: (92) 3622-1880 / 3622-2420

Email: teatroamazonas@culturamazonas.am.gov.br

Espero ter lhe ajudado de alguma forma."
12,"O teatro abrirá na data de 12/09/16? Se afirmativo qual horário?

Há alguma programação à noite?","Horário de Funcionamento

O setor de turismo funciona de terça a sábado, das 9h às 17h, e o setor administrativo e o Acervo Histórico do Teatro Amazonas funciona de terça a sexta-feira, das 8h às 15h30.

Venda de ingressos (Amazonense não paga visitação)

Endereço e contato

Av. Eduardo Ribeiro, 659 Centro, CEP: 69.010-001.

Telefones: (92) 3622-1880 / 3622-2420

Email: teatroamazonas@culturamazonas.am.gov.br"
13,se haverá espetáculo durante nossa estada 2 a 7 de julho 2016,Sugiro que entre em contato com a Secretaria de Cultura de Manaus e se informe sobre a agenda. Boa viagem e divirta-se!
14,vou a Manaus de 2 a 7 de julho gostaria de saber programação do teatro de Manaus nesta época,"Olás,

a visita começa às 9h, conforme o site https://cultura.am.gov.br/teatro-amazonas/

Dê uma olhadinha... Haverá o festival de Ópera agora em Maio (très chic)!"
15,,
